"state_name","icc"
"Alabama",0.742779848808212
"Alaska",0.314924073277712
"Arizona",0.650655896660714
"Arkansas",0.724322579007697
"California",0.92679517713541
"Colorado",0.514126857780058
"Connecticut",0.859783919619866
"Delaware",0.959724142868353
"Florida",0.837384511184628
"Idaho",0.437697824787746
"Illinois",0.793591053262318
"Indiana",0.797893054438483
"Iowa",0.74221809436276
"Kansas",0.753817211093726
"Kentucky",0.715799030134522
"Louisiana",0.780179315970073
"Maine",0.924574000329554
"Maryland",0.819007217056288
"Massachusetts",0.739171019379761
"Minnesota",0.615839041497426
"Mississippi",0.443863016574384
"Missouri",0.842892038425584
"Montana",0.404886643009167
"Nebraska",0.770222859405522
"Nevada",0.715654425097474
"New Hampshire",0.24447404115738
"New Jersey",0.792893045460681
"New Mexico",0.784306572509171
"New York",0.405718294761703
"North Carolina",0.71179971708694
"North Dakota",0.402975713455551
"Ohio",0.702630485828978
"Oklahoma",0.709355704053939
"Oregon",0.76020288115748
"Pennsylvania",0.829565794817379
"Rhode Island",0.309929959449758
"South Carolina",0.591275960489307
"South Dakota",0.440911686528202
"Tennessee",0.708368818400954
"Texas",0.645137563138177
"Utah",0.631171268871643
"Washington",0.709385335933324
"West Virginia",0.634868399286034
"Wisconsin",0.705139995149251
"Wyoming",0.491806180982387
66252
